Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
70,Uruguay,"10,32,710","7,609","10,23,939","1,162","61,14,822","34,96,016"
71,Panama,"10,29,701","8,596","10,20,206",899,"74,75,016","44,46,964"
72,Mongolia,"10,07,871","2,179","10,05,658",34,"40,30,048","33,78,078"
73,Nepal,"10,01,102","12,020","9,89,064",18,"60,03,944","3,02,25,582"
74,Belarus,"9,94,037","7,118","9,85,592","1,327","1,36,46,641","94,32,800"
75,Latvia,"9,75,355","6,218","9,68,830",307,"78,58,319","18,48,837"
76,Saudi Arabia,"8,27,962","9,574","8,15,528","2,860","4,50,48,008","3,58,44,909"
77,Azerbaijan,"8,27,944","10,085","8,17,654",205,"74,87,550","1,03,00,205"
78,Paraguay,"8,06,256","19,820",N/A,N/A,"26,57,506","73,05,843"
79,Bahrain,"7,00,452","1,543","6,98,400",509,"1,06,82,444","17,83,983"
80,Sri Lanka,"6,71,989","16,828","6,55,158",3,"64,86,117","2,15,75,842"
81,Kuwait,"6,62,858","2,570","6,60,237",51,"84,55,743","43,80,326"
82,Dominican Republic,"6,60,095","4,384","6,44,785","10,926","37,40,928","1,10,56,370"
83,Cyprus,"6,42,663","1,287","6,33,422","7,954","96,40,118","12,23,387"
84,Myanmar,"6,33,820","19,490","6,14,299",31,"99,41,945","5,52,27,143"
85,Palestine,"6,21,008","5,404","6,15,445",159,"30,78,533","53,45,541"
86,Estonia,"6,13,891","2,912","5,24,990","85,989","36,59,157","13,21,910"
87,Moldova,"5,98,673","11,953","5,04,142","82,578","32,16,305","40,13,171"
88,Venezuela,"5,51,587","5,845","5,45,003",739,"33,59,014","2,92,66,991"
89,Egypt,"5,15,645","24,613","4,42,182","48,850","36,93,367","10,61,56,692"
90,Libya,"5,07,162","6,437","5,00,721",4,"24,83,446","70,40,745"
91,China,"5,03,302","5,272","3,79,053","1,18,977","16,00,00,000",
92,Ethiopia,"4,99,531","7,572","4,86,531","5,428","54,59,809","12,08,12,698"
93,Qatar,"4,92,534",686,"4,91,585",263,"40,65,369","29,79,915"
94,Réunion,"4,85,895",919,"4,18,572","66,404","16,03,660","9,08,061"
95,Honduras,"4,70,757","11,104",N/A,N/A,"16,19,676","1,02,21,247"
96,Armenia,"4,46,008","8,717","4,35,162","2,129","32,42,901","29,71,966"
97,Bosnia and Herzegovina,"4,01,384","16,255","3,79,084","6,045","18,84,721","32,49,317"
98,Oman,"3,99,449","4,628","3,84,669","10,152","2,50,00,000","53,23,993"
99,North Macedonia,"3,46,428","9,638","3,36,623",167,"22,16,193","20,81,304"
100,Kenya,"3,42,810","5,688","3,37,040",82,"39,67,062","5,62,15,221"
101,Zambia,"3,40,763","4,047","3,35,104","1,612","38,65,993","1,94,70,234"
102,Albania,"3,34,167","3,595","3,28,951","1,621","19,41,032","28,66,374"
103,Botswana,"3,29,227","2,800","3,25,934",493,"20,26,898","24,41,162"
104,Luxembourg,"2,97,757","1,133","2,88,991","7,633","44,12,567","6,42,371"
105,Montenegro,"2,86,355","2,797","2,83,210",348,"26,97,814","6,27,950"
106,Brunei,"2,75,220",225,"2,43,601","31,394","7,17,784","4,45,431"
107,Algeria,"2,71,378","6,881","1,82,749","81,748","2,30,861","4,53,50,148"
108,Nigeria,"2,66,463","3,155","2,59,850","3,458","57,08,974","21,67,46,934"
109,Zimbabwe,"2,61,606","5,652","2,54,951","1,003","25,25,756","1,53,31,428"
110,Uzbekistan,"2,50,567","1,637","2,41,486","7,444","13,77,915","3,43,82,084"
111,Mozambique,"2,31,994","2,233","2,28,805",956,"13,71,127","3,30,89,461"
112,Martinique,"2,29,687","1,097",N/A,N/A,"8,28,928","3,74,087"
113,Laos,"2,17,973",758,N/A,N/A,"12,33,207","74,81,023"
114,Iceland,"2,08,688",229,N/A,N/A,"19,96,384","3,45,393"
115,Afghanistan,"2,08,545","7,882","1,86,088","14,575","11,88,898","4,07,54,388"
116,Kyrgyzstan,"2,06,592","2,991","1,96,406","7,195","19,07,195","67,28,271"
117,El Salvador,"2,01,785","4,230","1,79,410","18,145","26,10,114","65,50,389"
118,Guadeloupe,"2,01,394","1,007",N/A,N/A,"9,38,039","3,99,794"
119,Trinidad and Tobago,"1,87,908","4,326","1,83,264",318,"8,88,936","14,06,585"
120,Maldives,"1,85,715",311,"1,63,687","21,717","22,13,831","5,40,985"
121,Ghana,"1,71,112","1,462","1,69,636",14,"25,27,319","3,23,95,450"
122,Namibia,"1,70,741","4,088","1,66,452",201,"10,62,663","26,33,874"
123,Uganda,"1,70,400","3,630","1,00,431","66,339","30,12,408","4,84,32,863"
124,Jamaica,"1,53,407","3,480","1,02,212","47,715","11,83,986","29,85,094"
125,Cambodia,"1,38,693","3,056","1,35,624",13,"30,91,420","1,71,68,639"
126,Rwanda,"1,33,090","1,468","1,31,559",63,"59,59,042","1,36,00,464"
127,Cameroon,"1,23,993","1,965","1,18,616","3,412","17,51,774","2,79,11,548"
128,Malta,"1,17,062",824,"1,15,623",615,"21,09,235","4,44,033"
129,Barbados,"1,06,157",571,"1,05,570",16,"7,90,354","2,88,023"
130,Angola,"1,05,184","1,931","1,03,216",37,"14,99,795","3,50,27,343"
131,Channel Islands,"1,01,116",223,"1,00,778",115,"12,52,808","1,76,463"
132,French Guiana,"98,028",420,"11,254","86,354","6,51,257","3,14,169"
133,DRC,"95,514","1,463","84,264","9,787","8,46,704","9,52,40,792"
134,Senegal,"88,902","1,971","86,929",2,"11,46,543","1,76,53,671"
135,Malawi,"88,559","2,686","85,369",504,"6,24,784","2,01,80,839"
136,Ivory Coast,"87,982",833,"87,138",11,"16,71,684","2,77,42,298"
137,Suriname,"82,020","1,398",N/A,N/A,"2,39,603","5,96,831"
138,New Caledonia,"79,845",314,"79,526",5,"98,964","2,90,915"
139,French Polynesia,"77,957",649,N/A,N/A,,"2,84,164"
140,Eswatini,"74,133","1,422","72,676",35,"10,48,704","11,84,817"
141,Guyana,"72,950","1,294","71,357",299,"7,17,867","7,94,045"
142,Belize,"70,660",688,"69,949",23,"5,76,016","4,12,190"
143,Fiji,"68,820",883,"66,780","1,157","6,67,715","9,09,466"
144,Madagascar,"67,827","1,419","66,370",38,"5,24,209","2,91,78,077"
145,Sudan,"63,742","5,001","58,284",457,"5,62,941","4,59,92,020"
146,Mauritania,"63,665",997,"62,437",231,"10,09,957","49,01,981"
147,Cabo Verde,"63,229",413,"62,756",60,"4,01,622","5,67,678"
148,Bhutan,"62,605",21,"61,564","1,020","23,03,734","7,87,941"
149,Syria,"57,453","3,164","54,289",0,"1,46,269","1,93,64,809"
150,Burundi,"53,492",38,"53,394",60,"3,45,742","1,26,24,840"
151,Seychelles,"50,665",172,"50,440",53,,"99,426"
152,Gabon,"48,981",306,"48,674",1,"16,21,909","23,31,533"
153,Andorra,"47,839",165,"47,563",111,"2,49,838","77,463"
154,Papua New Guinea,"46,750",670,"43,982","2,098","2,49,149","92,92,169"
155,Curaçao,"45,986",295,"44,720",971,"4,96,693","1,65,529"
156,Aruba,"43,993",236,"42,438","1,319","1,77,885","1,07,609"
157,Tanzania,"42,664",846,N/A,N/A,,"6,32,98,550"
158,Mayotte,"42,002",188,N/A,N/A,"1,76,919","2,86,259"
159,Mauritius,"41,652","1,043","39,943",666,"3,58,675","12,74,727"
160,Togo,"39,354",290,"39,061",3,"8,06,803","86,80,837"
161,Guinea,"38,240",467,"37,757",16,"6,60,107","1,38,65,691"
162,Isle of Man,"38,008",116,N/A,N/A,"1,50,753","85,732"
163,Bahamas,"37,491",833,"36,366",292,"2,57,839","4,00,516"
164,Lesotho,"34,790",723,"25,980","8,087","4,31,221","21,75,699"
165,Faeroe Islands,"34,658",28,N/A,N/A,"7,78,000","49,233"
166,Haiti,"34,076",860,"33,033",183,"1,32,422","1,16,80,283"
167,Mali,"32,783",743,"31,957",83,"7,89,342","2,14,73,764"
168,Cayman Islands,"31,472",37,"8,553","22,882","2,22,773","67,277"
169,Saint Lucia,"29,803",409,"29,095",299,"2,10,983","1,85,113"
170,Benin,"27,989",163,"27,823",3,"6,04,310","1,27,84,726"
171,Somalia,"27,318","1,361","13,182","12,775","4,00,466","1,68,41,795"
172,Congo,"25,375",386,"24,006",983,"3,47,815","57,97,805"
173,Solomon Islands,"24,575",153,N/A,N/A,,"7,21,159"
174,San Marino,"23,427",122,"23,276",29,"1,57,634","34,085"
175,Timor-Leste,"23,415",138,"23,102",175,"2,78,529","13,69,429"
176,Micronesia,"22,676",58,N/A,N/A,"54,967","1,17,489"
177,Burkina Faso,"22,025",396,"21,596",33,"2,48,995","2,21,02,838"
178,Liechtenstein,"21,340",89,"21,237",14,"1,12,457","38,387"
179,Gibraltar,"20,399",111,"16,579","3,709","5,34,283","33,704"
180,Grenada,"19,680",238,"19,358",84,"1,82,981","1,13,475"
181,Bermuda,"18,766",157,"18,593",16,"10,24,947","61,939"
182,Nicaragua,"18,491",225,"4,225","14,041",,"67,79,100"
183,South Sudan,"18,368",138,"18,115",115,"4,10,280","1,16,18,511"
184,Tajikistan,"17,786",125,"17,264",397,,"99,57,464"
185,Equatorial Guinea,"17,190",183,"16,883",124,"3,65,697","14,96,662"
186,Tonga,"16,734",13,"15,638","1,083","5,35,009","1,07,749"
187,Samoa,"16,087",29,"1,605","14,453","1,87,397","2,02,239"
188,Monaco,"16,056",65,"15,982",9,"78,646","39,783"
189,Dominica,"15,760",74,"15,673",13,"2,29,344","72,344"
190,Djibouti,"15,690",189,"15,427",74,"3,05,941","10,16,097"
191,Marshall Islands,"15,584",17,"15,528",39,,"60,057"
192,CAR,"15,368",113,"15,200",55,"81,294","50,16,678"
193,Gambia,"12,586",372,"12,189",25,"1,55,686","25,58,482"
194,Saint Martin,"12,233",63,"1,399","10,771","1,12,382","39,730"
195,Vanuatu,"12,014",14,"11,976",24,"24,976","3,21,832"
196,Greenland,"11,971",21,"2,761","9,189","1,64,926","56,973"
197,Yemen,"11,945","2,159","9,124",662,"3,29,592","3,11,54,867"
198,Caribbean Netherlands,"11,661",38,"10,476","1,147","30,126","26,647"
199,Sint Maarten,"11,010",89,"10,905",16,"62,056","43,966"
200,Eritrea,"10,189",103,"10,086",0,"23,693","36,62,244"
201,Niger,"9,931",312,"8,890",729,"2,54,538","2,60,83,660"
202,St. Vincent Grenadines,"9,585",123,"9,454",8,"1,13,504","1,11,551"
203,Antigua and Barbuda,"9,106",146,"8,954",6,"18,901","99,509"
204,Comoros,"8,992",161,"8,827",4,,"9,07,419"
205,Guinea-Bissau,"8,947",176,"8,656",115,"1,45,231","20,63,367"
206,Liberia,"8,062",294,"7,766",2,"1,39,824","53,05,117"
207,Sierra Leone,"7,760",126,N/A,N/A,"2,59,958","83,06,436"
208,Chad,"7,652",194,"4,874","2,584","1,91,341","1,74,13,580"
209,British Virgin Islands,"7,305",64,N/A,N/A,"1,07,339","30,596"
210,Cook Islands,"7,011",2,"6,993",16,"19,690","17,571"
211,Saint Kitts and Nevis,"6,592",46,"6,537",9,"1,26,903","53,871"
212,Turks and Caicos,"6,522",38,"6,451",33,"6,11,527","39,741"
213,Sao Tome and Principe,"6,280",77,"6,202",1,"29,036","2,27,679"
214,Palau,"5,986",9,"5,976",1,"68,820","18,233"
215,St. Barth,"5,420",6,N/A,N/A,"78,646","9,945"
216,Kiribati,"5,008",18,"2,703","2,287",,"1,23,419"
217,Nauru,"4,621",1,"4,609",11,"20,509","10,903"
218,Anguilla,"3,904",12,"3,879",13,"51,382","15,230"
219,Macao,"3,488",120,"3,357",11,"7,850","6,67,490"
220,Saint Pierre Miquelon,"3,452",2,"2,449","1,001","25,400","5,759"
221,Wallis and Futuna,"3,427",7,438,"2,982","20,508","10,982"
222,Tuvalu,"2,805",,,"2,805",,"12,066"
223,Saint Helena,"2,166",,2,"2,164",,"6,115"
224,Falkland Islands,"1,930",,"1,930",0,"8,632","3,539"
225,Montserrat,"1,403",8,"1,376",19,"17,762","4,965"
226,Niue,747,,746,1,,"1,622"
227,Diamond Princess,712,13,699,0,,
228,Vatican City,29,,29,0,,799
229,Western Sahara,10,1,9,0,,"6,26,161"
230,MS Zaandam,9,2,7,0,,
231,Tokelau,5,,,5,,"1,378"
